Dataset,Display Dataset,Model,Seed,recall@10,ndcg@10,recall@50,ndcg@50,Source CSV,Source MTime
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),AsymLightGCN,42,0.0533,0.0261,0.1332,0.0431,train_logs\final_full_graph_results_2026-05-04_23-39-32.csv,1777927213.5569518
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),AsymLightGCN,43,0.045,0.0217,0.1261,0.0393,train_logs\final_full_graph_results_2026-05-05_20-11-53_partial.csv,1778001135.4736989
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),AsymLightGCN,44,0.0363,0.0168,0.1179,0.0346,train_logs\final_full_graph_results_2026-05-05_20-13-34.csv,1778001255.0413725
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),AsymLightGCN,45,0.05,0.0245,0.1294,0.0417,train_logs\final_full_graph_results_2026-05-08_02-37-32_partial.csv,1778197073.114753
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),AsymLightGCN,46,0.045,0.0255,0.1346,0.045,train_logs\final_full_graph_results_2026-05-08_02-38-21.csv,1778197121.1385536
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),AsymLightGCN,47,0.0494,0.0248,0.1372,0.0439,train_logs\final_full_graph_results_2026-05-08_02-38-49.csv,1778197148.9288776
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),AsymLightGCN (Gamma=0 eval-only),42,0.0512,0.0252,0.1316,0.0425,train_logs\final_full_graph_results_2026-05-04_23-39-32.csv,1777927213.5569518
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),AsymLightGCN (Gamma=0 eval-only),43,0.0455,0.0221,0.1216,0.0387,train_logs\final_full_graph_results_2026-05-05_20-11-53_partial.csv,1778001135.4736989
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),AsymLightGCN (Gamma=0 eval-only),44,0.0363,0.0168,0.1163,0.0342,train_logs\final_full_graph_results_2026-05-05_20-13-34.csv,1778001255.0413725
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),AsymLightGCN (Gamma=0 eval-only),45,0.0472,0.0233,0.1315,0.0416,train_logs\final_full_graph_results_2026-05-08_02-37-32_partial.csv,1778197073.114753
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),AsymLightGCN (Gamma=0 eval-only),46,0.0487,0.0272,0.136,0.0459,train_logs\final_full_graph_results_2026-05-08_02-38-21.csv,1778197121.1385536
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),AsymLightGCN (Gamma=0 eval-only),47,0.0469,0.0246,0.1337,0.0437,train_logs\final_full_graph_results_2026-05-08_02-38-49.csv,1778197148.9288776
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),BPR,42,0.0174,0.009,0.0371,0.0133,train_logs/extra_baselines_results_2026-05-06_21-45-00.csv,1778093134.5528042
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),BPR,43,0.0181,0.0104,0.0394,0.0153,train_logs/extra_baselines_results_2026-05-06_21-45-00.csv,1778093134.5528042
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),BPR,44,0.0186,0.0102,0.0405,0.0148,train_logs/extra_baselines_results_2026-05-06_21-45-00.csv,1778093134.5528042
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),BPR,45,0.0215,0.0106,0.0517,0.0173,train_logs/extra_baselines_results_2026-05-08_02-39-17.csv,1778197182.3130457
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),BPR,46,0.0105,0.0056,0.0341,0.0106,train_logs/extra_baselines_results_2026-05-08_02-39-17.csv,1778197182.3130457
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),BPR,47,0.0226,0.0127,0.046,0.018,train_logs/extra_baselines_results_2026-05-08_02-39-17.csv,1778197182.3130457
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),LightGCN,42,0.0307,0.0163,0.0911,0.0297,train_logs\final_full_graph_results_2026-05-04_23-39-32.csv,1777927213.5569518
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),LightGCN,43,0.0258,0.0132,0.0877,0.0268,train_logs\final_full_graph_results_2026-05-05_20-11-53_partial.csv,1778001135.4736989
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),LightGCN,44,0.0302,0.018,0.0834,0.0296,train_logs\final_full_graph_results_2026-05-05_20-13-34.csv,1778001255.0413725
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),LightGCN,45,0.0308,0.0185,0.089,0.0313,train_logs\final_full_graph_results_2026-05-08_02-37-32_partial.csv,1778197073.114753
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),LightGCN,46,0.0369,0.0187,0.089,0.0303,train_logs\final_full_graph_results_2026-05-08_02-38-21.csv,1778197121.1385536
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),LightGCN,47,0.0324,0.0204,0.0865,0.0325,train_logs\final_full_graph_results_2026-05-08_02-38-49.csv,1778197148.9288776
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),MostPopIndependent,42,0.0274482437776227,0.0132387053120963,0.0894394045126773,0.0267841214777338,train_logs/mostpop_amazon_min_degree_6seed_2026-05-08.csv,1778195700.430338
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),MostPopIndependent,43,0.0257036520120958,0.0118381914767067,0.0795533845080251,0.0233640849577135,train_logs/mostpop_amazon_min_degree_6seed_2026-05-08.csv,1778195700.430338
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),MostPopIndependent,44,0.0230286113049546,0.0106754035535867,0.0755408234473133,0.0219926066941916,train_logs/mostpop_amazon_min_degree_6seed_2026-05-08.csv,1778195700.430338
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),MostPopIndependent,45,0.0285946897949689,0.0131151861318132,0.0931075786274669,0.0269927388092497,train_logs/mostpop_amazon_min_degree_6seed_2026-05-08.csv,1778195700.430338
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),MostPopIndependent,46,0.0315189578971853,0.0164444327514623,0.0842056292160967,0.0279496252402856,train_logs/mostpop_amazon_min_degree_6seed_2026-05-08.csv,1778195700.430338
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),MostPopIndependent,47,0.0330309374273086,0.0145031179557616,0.0888578739241684,0.0264749946170515,train_logs/mostpop_amazon_min_degree_6seed_2026-05-08.csv,1778195700.430338
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),NCL,42,0.033,0.0174,0.0908,0.0303,train_logs\final_full_graph_results_2026-05-08_02-44-26.csv,1778197505.7806761
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),NCL,43,0.0274,0.0149,0.0935,0.0293,train_logs\final_full_graph_results_2026-05-08_02-45-08.csv,1778197547.386422
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),NCL,44,0.0268,0.0139,0.0882,0.0271,train_logs\final_full_graph_results_2026-05-08_02-45-49.csv,1778197588.8245568
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),NCL,45,0.0363,0.0194,0.0882,0.0308,train_logs\final_full_graph_results_2026-05-08_02-46-31.csv,1778197630.518706
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),NCL,46,0.0402,0.0212,0.097,0.0336,train_logs\final_full_graph_results_2026-05-08_02-47-13.csv,1778197672.037977
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),NCL,47,0.0316,0.0194,0.0859,0.0313,train_logs\final_full_graph_results_2026-05-08_02-47-54.csv,1778197713.9776947
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),Semantic-only,42,0.0425680390788555,0.0238588940023264,0.0841104696652498,0.0330521229786725,train_logs\semantic_only_amazon_reduced_min5_fixed_seed42_2026-05-04_semantic_only.csv,1777927838.6927252
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),Semantic-only,43,0.0391951616655036,0.029847957568571,0.0801930681553849,0.0387176645138212,train_logs\semantic_only_amazon_reduced_min5_fixed_seed43_2026-05-04_semantic_only.csv,1777927852.917738
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),Semantic-only,44,0.0393114677832053,0.022912161232197,0.0832751802744824,0.0322309940670445,train_logs\semantic_only_amazon_reduced_min5_fixed_seed44_2026-05-04_semantic_only.csv,1777927852.920748
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),Semantic-only,45,0.0452430797859967,0.0321923997649817,0.0825025753497491,0.0406226271994822,train_logs\semantic_only_amazon_min5_seed45_2026-05-08_semantic_only.csv,1778197203.0034487
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),Semantic-only,46,0.0422191207257501,0.0267654986086445,0.08571760874622,0.0362475483003737,train_logs\semantic_only_amazon_min5_seed46_2026-05-08_semantic_only.csv,1778197203.0395005
clean_amazon_reduced_min5,Reduced Amazon (min user interactions >= 5),Semantic-only,47,0.0558269364968597,0.0368349976826394,0.0967500747682185,0.0457433998272611,train_logs\semantic_only_amazon_min5_seed47_2026-05-08_semantic_only.csv,1778197202.9974349
