Dataset,Seed,Model,Users,recall@10,ndcg@10,recall@50,ndcg@50
clean_amazon_reduced_min10,42,AsymLightGCN,410,0.06240682082145496,0.03504011656260053,0.15169359096188365,0.05545762528971959
clean_amazon_reduced_min10,42,LightGCN,410,0.012195121951219513,0.004790450170477781,0.02609016999260902,0.007860637054440562
clean_amazon_reduced_min10,42,MostPopIndependent,410,0.036585365853658534,0.017192103108463083,0.09247967479674796,0.02947178281044908
clean_amazon_reduced_min10,42,NCL,410,0.014634146341463415,0.010494150774305386,0.026090169992609012,0.013160824347522089
clean_amazon_reduced_min10,42,Semantic-only,410,0.025203252032520322,0.011375156454795131,0.07046299229226058,0.022523555626649972
clean_amazon_reduced_min10,42,SemanticGatedBPR,410,0.03631665082884595,0.02298108294476497,0.12043078872347165,0.04144326325664445
clean_amazon_reduced_min10,43,AsymLightGCN,410,0.05096082779009607,0.023476036613945293,0.1395971914264597,0.04393891302002362
clean_amazon_reduced_min10,43,LightGCN,410,0.014634146341463415,0.009284993627131432,0.036178861788617886,0.01410889842710529
clean_amazon_reduced_min10,43,MostPopIndependent,410,0.020934959349593496,0.012053140892287052,0.08861788617886178,0.026598892041874635
clean_amazon_reduced_min10,43,NCL,410,0.022764227642276424,0.013839736958293575,0.03861788617886179,0.017253855072902557
clean_amazon_reduced_min10,43,Semantic-only,410,0.014227642276422764,0.008287535941234814,0.08137472283813746,0.023645857758364742
clean_amazon_reduced_min10,43,SemanticGatedBPR,410,0.03827790096082779,0.02195877485165206,0.10089800443458978,0.03550507328334923
clean_amazon_reduced_min10,44,AsymLightGCN,410,0.038211382113821135,0.022648225679913703,0.13479674796747967,0.044929990452502115
clean_amazon_reduced_min10,44,LightGCN,410,0.00426829268292683,0.0033209586612032754,0.021747967479674796,0.007128863266572657
clean_amazon_reduced_min10,44,MostPopIndependent,410,0.020731707317073172,0.013651637642089874,0.060714285714285714,0.02240209920263007
clean_amazon_reduced_min10,44,NCL,410,0.009146341463414634,0.005229208978039646,0.03426829268292683,0.011160328001961458
clean_amazon_reduced_min10,44,Semantic-only,410,0.007665505226480836,0.00473022275022636,0.03815331010452962,0.011534890053189606
clean_amazon_reduced_min10,44,SemanticGatedBPR,410,0.04686991869918699,0.025621069124392055,0.08223577235772359,0.033614828944490416
clean_amazon_reduced_min4,42,AsymLightGCN,2157,0.04411991964147736,0.020506242596332335,0.13166434863235976,0.03981286421013282
clean_amazon_reduced_min4,42,LightGCN,2157,0.04906505949621388,0.028803516381720067,0.1108406737753052,0.04227534931889129
clean_amazon_reduced_min4,42,MostPopIndependent,2157,0.032066141245557095,0.015264425343923454,0.10261165198578272,0.030862240103908575
clean_amazon_reduced_min4,42,NCL,2157,0.04891052387575336,0.029287435607093345,0.10606552310307525,0.04177307010089871
clean_amazon_reduced_min4,42,Semantic-only,2157,0.05370112811002936,0.037271112131811605,0.09147404905402123,0.0455861167844115
clean_amazon_reduced_min4,42,SemanticGatedBPR,2157,0.03833888256697714,0.017698477106917257,0.11761565586322192,0.0348978774089646
clean_amazon_reduced_min4,43,AsymLightGCN,2157,0.04355586462679647,0.021756038621162405,0.13290695550779,0.0411374017042616
clean_amazon_reduced_min4,43,LightGCN,2157,0.04728789986091794,0.026799700519151856,0.10625096584762787,0.03987899550159746
clean_amazon_reduced_min4,43,MostPopIndependent,2157,0.034345541647349716,0.01617842953378285,0.09957362217445667,0.030523375928877276
clean_amazon_reduced_min4,43,NCL,2157,0.04836964920414155,0.02844396753653953,0.10119433958098771,0.04002950510148978
clean_amazon_reduced_min4,43,Semantic-only,2157,0.056869108329469946,0.040675379276003384,0.09478552663531802,0.0490149978155406
clean_amazon_reduced_min4,43,SemanticGatedBPR,2157,0.031423413551369045,0.014718617409419705,0.10549233643809443,0.031288967748494885
clean_amazon_reduced_min4,44,AsymLightGCN,2157,0.0404496986555401,0.021408793155242814,0.1355804217417569,0.0420271558251387
clean_amazon_reduced_min4,44,LightGCN,2157,0.045510740225622,0.02772267174136294,0.10821356822747642,0.041473248744319915
clean_amazon_reduced_min4,44,MostPopIndependent,2157,0.03225931077113275,0.015586927033534153,0.09662339669293772,0.0296729108355223
clean_amazon_reduced_min4,44,NCL,2157,0.04736516767114819,0.028111728879515255,0.10396383866481224,0.040643456751195496
clean_amazon_reduced_min4,44,Semantic-only,2157,0.061582444753515674,0.04111850677814596,0.09792149590480606,0.048950488013809974
clean_amazon_reduced_min4,44,SemanticGatedBPR,2157,0.036277236903106164,0.01813494378355257,0.10666821202287127,0.0332264667068144
clean_amazon_reduced_min6,42,AsymLightGCN,1030,0.03886668347833397,0.01835840957229515,0.12239124952717186,0.03656437204988921
clean_amazon_reduced_min6,42,LightGCN,1030,0.023705501618122977,0.011790603207997897,0.06896671289875173,0.021388641738270413
clean_amazon_reduced_min6,42,MostPopIndependent,1030,0.023462783171521034,0.010213805328920862,0.08776005547850207,0.023802206864724035
clean_amazon_reduced_min6,42,NCL,1030,0.021601941747572816,0.011660645259725069,0.07638696255201109,0.023526567289688112
clean_amazon_reduced_min6,42,Semantic-only,1030,0.027184466019417475,0.017401205649845566,0.07085697474046988,0.026806502586919943
clean_amazon_reduced_min6,42,SemanticGatedBPR,1030,0.030611944689614593,0.015969696511167603,0.08652439793216492,0.028376832345415326
clean_amazon_reduced_min6,43,AsymLightGCN,1030,0.04641701340730467,0.02737599441666638,0.12487916614130207,0.04497118164444791
clean_amazon_reduced_min6,43,LightGCN,1030,0.025080906148867314,0.012393822072964631,0.08055940822931115,0.024999465493351854
clean_amazon_reduced_min6,43,MostPopIndependent,1030,0.035275080906148865,0.01640847571541479,0.09698335644937586,0.02969085051988039
clean_amazon_reduced_min6,43,NCL,1030,0.02605177993527508,0.013509450259250903,0.09293804900601017,0.028552555057853656
clean_amazon_reduced_min6,43,Semantic-only,1030,0.030258899676375402,0.02045056288039975,0.07046925566343042,0.029136081472625485
clean_amazon_reduced_min6,43,SemanticGatedBPR,1030,0.03964401294498381,0.021516002098082344,0.10108750472828143,0.034708095098949315
clean_amazon_reduced_min6,44,AsymLightGCN,1030,0.04193880553103854,0.02113668642708554,0.1276993233303913,0.039518923213511956
clean_amazon_reduced_min6,44,LightGCN,1030,0.026262135922330097,0.01603821490584565,0.0844914470642626,0.028422657830052444
clean_amazon_reduced_min6,44,MostPopIndependent,1030,0.02702265372168285,0.013639329609092395,0.08859223300970874,0.02699722305493853
clean_amazon_reduced_min6,44,NCL,1030,0.027323162274618586,0.01695511557907364,0.08303513638465095,0.028767913931079508
clean_amazon_reduced_min6,44,Semantic-only,1030,0.040453074433656956,0.02569411255506774,0.08373786407766991,0.035081245767246076
clean_amazon_reduced_min6,44,SemanticGatedBPR,1030,0.033656957928802585,0.014485080816130503,0.09981612238893793,0.028826690060793234
clean_amazon_reduced_min8,42,AsymLightGCN,602,0.034474191367879076,0.01751000260817116,0.11215968416965094,0.03481239051321517
clean_amazon_reduced_min8,42,LightGCN,602,0.0170265780730897,0.008229222274982668,0.04526578073089701,0.01454089036672152
clean_amazon_reduced_min8,42,MostPopIndependent,602,0.023532668881506093,0.012223287559113224,0.08587536494513238,0.026057961104798594
clean_amazon_reduced_min8,42,NCL,602,0.017857142857142856,0.010110362204539182,0.05154535387093527,0.01738897590355178
clean_amazon_reduced_min8,42,Semantic-only,602,0.03765227021040974,0.019775774477363884,0.06920869827846572,0.026761371908513205
clean_amazon_reduced_min8,42,SemanticGatedBPR,602,0.042902446390818486,0.0205513713905793,0.10197034416303519,0.03363398860490342
clean_amazon_reduced_min8,43,AsymLightGCN,602,0.0560077519379845,0.030706701870000137,0.14891019832880295,0.051801251733406536
clean_amazon_reduced_min8,43,LightGCN,602,0.013289036544850499,0.005793781251902003,0.03567473501028318,0.01071225063287982
clean_amazon_reduced_min8,43,MostPopIndependent,602,0.03239202657807309,0.01632937422893337,0.0907688656858092,0.029343606076682023
clean_amazon_reduced_min8,43,NCL,602,0.024916943521594685,0.011618271657980416,0.05121816168327796,0.017688744982226116
clean_amazon_reduced_min8,43,Semantic-only,602,0.023809523809523808,0.012466286287453247,0.06320598006644518,0.021234722600718608
clean_amazon_reduced_min8,43,SemanticGatedBPR,602,0.039081848384173966,0.02044787795385971,0.11678567833052882,0.037879095978283456
clean_amazon_reduced_min8,44,AsymLightGCN,602,0.05121816168327796,0.029151032284795986,0.1274974471818326,0.046621973435740434
clean_amazon_reduced_min8,44,LightGCN,602,0.012624584717607973,0.007069356108485984,0.03311184939091916,0.011595542570670027
clean_amazon_reduced_min8,44,MostPopIndependent,602,0.030454042081949056,0.015481186002270409,0.06769102990033223,0.02439728660731035
clean_amazon_reduced_min8,44,NCL,602,0.021677740863787376,0.010475389301511892,0.05609080841638981,0.017950276674816294
clean_amazon_reduced_min8,44,Semantic-only,602,0.03972868217054263,0.022628501413154062,0.08194905869324473,0.032365725811306686
clean_amazon_reduced_min8,44,SemanticGatedBPR,602,0.03581496023356488,0.017380632222751054,0.09979613409845967,0.031718654188841816
